Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,FanGraphs ID,Proj Rtg,Mgr,Rd
Chris Flexen,SEA,6,6,4.13,15,35,0,103,93,47,16,110,38,1.28,9.69,3.32,4.27,1.4,1.4,587.7,13896,49.5,Andrew,26
Triston McKenzie,CLE,7,8,4.66,23,23,0,127,121,66,23,131,46,1.32,9.27,3.25,4.73,1.4,1.6,192.6,18000,49.4,John,17
Dane Dunning,TEX,7,9,4.64,23,23,0,130,132,67,20,121,50,1.4,8.33,3.44,4.64,2,2.1,334.7,19409,49.2,Scott,28
James Karinchak,CLE,3,3,3.37,0,64,25,64,46,24,7,95,35,1.26,13.3,4.87,3.47,0.9,1.1,95.1,20151,47.8,Paula,7
Michael Wacha,TBR,7,9,4.69,24,24,0,130,132,68,21,113,49,1.39,7.82,3.38,4.86,0.9,1.2,538.9,14078,47.5,Paula,24
Peter Fairbanks,TBR,4,3,3.34,0,67,15,67,52,25,8,86,28,1.19,11.52,3.79,3.49,0.9,1,398.7,17998,47.0,Rich,26
Ryan Pressly,HOU,3,3,3.5,0,63,30,63,54,24,8,73,21,1.2,10.4,3.04,3.6,0.7,0.8,99.3,7005,46.9,Paula,15
Luis Severino,NYY,6,4,3.89,15,15,0,83,75,36,12,91,25,1.21,9.83,2.73,3.98,1.7,1.7,441.8,15890,45.1,Evans,17
Garrett Richards,BOS,8,8,4.78,23,23,0,122,124,65,19,115,48,1.41,8.53,3.53,4.62,1.4,1.5,469.4,9784,44.9,John,19
Rich Hill,TBR,6,7,4.44,19,19,0,106,100,52,17,99,41,1.33,8.44,3.47,4.71,1,1.3,489.4,4806,43.9,John,23
Cal Quantrill,CLE,6,8,4.74,15,57,0,122,127,64,21,106,38,1.36,7.84,2.83,4.75,0.9,1,497.9,19312,43.8,Jeff,24
Raisel Iglesias,LAA,3,3,3.82,0,64,29,64,55,27,10,74,22,1.21,10.45,3.14,4.01,0.6,0.7,82.6,17130,43.7,Myron,14
Trevor Rosenthal,OAK,3,3,3.63,0,62,26,62,48,25,7,79,34,1.31,11.49,4.88,3.89,0.5,0.7,104.4,10745,43.1,Myron,15
Diego Castillo,TBR,3,3,3.48,0,65,10,65,54,25,7,74,27,1.24,10.31,3.69,3.73,0.6,0.9,290.1,17496,40.8,Jeff,14
Taylor Rogers,MIN,3,3,3.56,0,64,11,64,56,25,8,73,20,1.2,10.23,2.87,3.64,0.8,0.9,201.8,13449,40.5,Rich,20
Jake Diekman,OAK,3,3,3.43,0,67,4,67,52,26,7,83,35,1.31,11.09,4.76,3.83,0.6,0.9,449.8,5003,40.4,Andrew,25
Matt Shoemaker,MIN,7,7,4.76,19,19,0,108,109,57,18,100,39,1.37,8.3,3.24,4.8,1.2,1.2,535.5,4776,40.2,Myron,22
Josh Fleming,TBR,5,6,4.28,15,27,0,94,100,45,12,67,29,1.37,6.43,2.78,4.55,0.9,1.1,554,20418,39.7,Scott,19
Garrett Crochet,CHW,3,2,2.76,0,53,0,53,35,16,6,83,23,1.09,14.11,3.85,2.86,1.2,1.1,999,27463,39.5,Andrew,22
Tanner Roark,TOR,8,9,5.16,24,24,0,135,146,77,25,108,47,1.43,7.18,3.16,5.21,1,0.9,591.4,8753,39.2,Paula,28
