Name,Team,Pos,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,WAR,ADP,FanGraphs ID,Proj,Mgr,Rd
Seth Brown,OAK,OF,112,483,441,101,23,3,22,58,67,34,142,3,6,2,0.229,0.286,0.443,0.729,0.308,1.0,511.4,18171,62.2,Scott,13
Nicky Lopez,KCR,SS,136,588,524,141,24,5,5,68,46,49,79,5,16,5,0.269,0.335,0.361,0.696,0.308,2.4,255.2,19339,61.9,Andrew,13
Willie Calhoun,TEX,OF/DH,115,497,450,117,21,3,19,61,60,38,72,4,2,1,0.261,0.323,0.451,0.773,0.331,1.1,479,17838,61.7,Rich,13
Myles Straw,CLE,OF,130,560,495,132,23,2,4,68,41,57,108,3,26,6,0.266,0.342,0.348,0.690,0.308,2.4,128.3,17620,61.0,Paula,10
Miguel Cabrera,DET,1B/DH,122,525,474,119,17,0,16,53,67,41,119,5,0,0,0.252,0.314,0.391,0.705,0.306,-0.2,553.8,1744,60.2,Evans,17
Ji-Man Choi,TBR,1B,117,504,424,98,22,1,17,59,63,69,136,5,2,1,0.231,0.342,0.411,0.753,0.329,1.4,580.7,5452,60.1,Andrew,17
Isiah Kiner-Falefa,NYY,SS,126,546,503,133,22,3,8,63,49,29,80,8,14,5,0.264,0.313,0.369,0.682,0.298,1.7,291.6,16512,60.0,Scott,12
Cavan Biggio,TOR,3B/OF,117,504,424,96,20,2,17,65,55,70,133,4,8,2,0.226,0.338,0.401,0.739,0.323,1.7,334.4,19252,59.9,Rich,18
Andres Gimenez,CLE,2B/SS,113,490,447,111,23,3,15,58,52,24,115,12,18,5,0.249,0.304,0.415,0.719,0.309,2.2,291.6,19950,58.5,Justin,19
Andy Ibanez,TEX,2B/DH,113,490,447,118,24,2,15,59,55,34,78,4,2,2,0.265,0.320,0.429,0.749,0.322,1.9,557.4,18819,58.5,Justin,22
Jeremy Pena,HOU,SS,123,532,486,121,18,4,19,55,58,31,133,8,10,5,0.250,0.304,0.424,0.729,0.313,2.3,433.1,sa876320,58.5,Andrew,18
Sean Murphy,OAK,C,120,480,419,96,23,1,20,57,62,45,123,9,1,0,0.228,0.314,0.428,0.743,0.321,3.4,247.1,19352,58.2,John,13
Michael A. Taylor,KCR,OF,125,539,492,116,24,2,14,58,55,36,151,4,14,6,0.235,0.290,0.378,0.668,0.289,1.2,537.5,11489,58.1,Jeff,18
Adam Frazier,SEA,2B,126,546,493,132,25,3,8,66,44,39,70,8,7,4,0.267,0.330,0.381,0.710,0.311,2.1,420.8,15223,57.8,Evans,9
Kevin Kiermaier,TBR,OF,120,518,468,109,22,7,10,60,53,39,127,6,13,5,0.233,0.298,0.375,0.673,0.291,1.9,590.6,11038,57.8,Paula,22
Bobby Bradley,CLE,1B,105,455,406,87,17,1,25,55,65,38,160,6,1,0,0.213,0.288,0.447,0.735,0.312,0.7,521.5,17278,57.7,Paula,24
Kole Calhoun,TEX,OF,110,476,420,96,18,1,20,60,57,46,114,5,3,1,0.229,0.311,0.424,0.735,0.316,1.2,540,11200,57.6,Paula,21
Brad Miller,TEX,1B/OF,105,455,398,94,16,3,20,57,58,50,128,3,3,1,0.235,0.324,0.443,0.767,0.329,1.7,545.5,12775,57.1,John,20
DJ LeMahieu,NYY,1B/2B/3B,105,455,407,115,19,1,10,63,45,40,62,3,4,1,0.283,0.348,0.412,0.760,0.331,2.1,124.8,9874,57.0,Paula,7
Carlos Santana,KCR,1B,115,497,422,99,18,0,16,59,56,68,80,3,2,0,0.236,0.343,0.394,0.738,0.323,0.7,532.4,2396,56.9,John,16
Tony Kemp,OAK,2B/OF,118,511,436,113,21,3,10,61,47,59,70,8,10,4,0.259,0.354,0.389,0.744,0.328,2.3,465.1,14894,56.7,Andrew,20
Gary Sanchez,MIN,C,112,455,397,82,16,1,23,55,63,49,126,7,1,0,0.208,0.303,0.424,0.728,0.313,1.0,243.5,11442,56.4,Myron,9
Cristian Pache,OAK,OF,123,532,489,108,25,2,15,59,54,34,149,4,8,6,0.221,0.276,0.373,0.648,0.281,1.0,566.2,19948,55.7,Rich,20
Elvis Andrus,OAK,SS,122,525,482,121,24,2,7,56,45,31,80,5,12,4,0.251,0.300,0.356,0.657,0.286,1.2,570.2,8709,53.0,Paula,20
Jed Lowrie,OAK,2B/DH,109,469,419,101,24,0,12,50,57,43,100,3,0,0,0.242,0.314,0.390,0.704,0.306,0.4,586.4,4418,52.9,Myron,16
Adley Rutschman,BAL,C,104,412,358,92,17,1,15,54,50,44,75,4,2,1,0.257,0.343,0.440,0.783,0.338,2.8,214,sa3011643,52.8,Scott,15
Jake Meyers,HOU,OF,97,420,379,93,19,1,15,50,52,29,107,6,8,4,0.246,0.308,0.421,0.729,0.315,1.7,596.2,20308,52.3,Justin,24
Danny Jansen,TOR,C,99,392,343,80,18,1,18,52,54,38,80,6,1,0,0.233,0.318,0.448,0.766,0.329,2.4,401.5,16535,52.2,John,24
Justin Upton,LAA,OF,94,406,356,79,13,0,19,51,54,41,121,5,4,1,0.222,0.307,0.421,0.728,0.315,0.4,566.7,5222,51.6,Paula,18
Alejandro Kirk,TOR,C,92,380,335,89,20,0,16,49,50,36,53,4,1,0,0.265,0.341,0.468,0.809,0.347,1.9,220.6,22581,50.5,Rich,14
Ramon Urias,BAL,2B/SS,105,455,406,101,23,1,12,50,50,38,110,8,3,2,0.248,0.322,0.400,0.722,0.315,1.5,543.8,18795,50.5,Scott,19
Eric Thames,OAK,1B/DH,102,441,386,84,18,1,18,49,52,43,135,7,4,2,0.217,0.304,0.406,0.711,0.307,0.2,591.9,3711,49.2,Andrew,24
Stephen Piscotty,OAK,OF,102,441,401,95,20,1,15,46,52,30,107,5,3,1,0.237,0.296,0.399,0.696,0.301,0.4,595.6,13367,48.7,Ronnie,24
Raimel Tapia,TOR,OF,97,420,385,100,22,3,6,53,37,29,74,2,14,4,0.260,0.313,0.381,0.694,0.301,0.5,307.9,14350,48.4,John,23
Gavin Sheets,CHW,OF/DH,81,350,316,80,15,0,16,44,52,27,80,2,1,1,0.254,0.316,0.458,0.775,0.331,0.9,531.7,19901,48.4,Jeff,16
Hunter Dozier,KCR,3B/OF,100,434,388,92,20,4,15,48,49,38,117,4,4,2,0.236,0.308,0.425,0.733,0.315,0.6,466.7,15117,48.4,Scott,16
Kevin Smith,OAK,3B,92,399,362,81,17,2,16,45,48,28,112,4,9,3,0.223,0.284,0.414,0.698,0.299,1.1,537,20242,46.7,Rich,19
Chad Pinder,OAK,OF,87,378,343,85,20,1,13,45,46,26,92,4,2,1,0.246,0.306,0.424,0.730,0.314,1.0,576.6,15191,45.7,Rich,24
Max Stassi,LAA,C,102,403,357,80,14,1,15,47,47,35,122,7,1,0,0.223,0.303,0.398,0.701,0.305,2.9,300.2,10059,45.6,Evans,15
Jorge Mateo,BAL,2B/SS,99,427,400,94,21,5,10,45,41,19,114,4,15,6,0.236,0.277,0.387,0.664,0.285,0.5,433.4,17273,45.1,Jeff,21
Mike Zunino,TBR,C,86,339,305,61,12,1,20,43,50,26,120,5,1,0,0.202,0.275,0.448,0.723,0.308,2.3,255.3,13265,44.3,Paula,14
Josh Harrison,CHW,2B/3B,94,406,369,95,19,1,8,44,41,23,60,10,6,3,0.259,0.317,0.381,0.698,0.305,1.0,397.1,8202,44.3,Evans,19
Rougned Odor,BAL,2B/3B,78,336,301,64,14,1,16,41,45,27,95,5,3,2,0.213,0.287,0.424,0.711,0.304,0.7,525.5,12282,41.7,Myron,19
Andrew Vaughn,CHW,OF,78,336,297,75,16,0,13,41,40,30,72,6,1,1,0.251,0.329,0.443,0.772,0.333,0.9,271.6,26197,40.7,Evans,16
