Name,Team,GS,G,IP,W,L,SV,H,ER,HR,SO,BB,WHIP,K/9,BB/9,ERA,FIP,WAR,RA9-WAR,ADP,FanGraphs ID,Proj Rtg,Mgr,Rd
Matt Barnes,BOS,0,66,66,6,4,18,52,27,8,90,31,1.26,12.24,4.26,3.68,3.55,1.2,1.2,218.2,12863,46.7,Justin,20
Tyler Wells,BAL,16,38,121,6,8,3,115,65,25,131,38,1.26,9.72,2.84,4.83,4.73,1.3,1.0,504.8,20000,44.0,Jeff,19
Matt Brash,SEA,16,34,104,5,6,0,96,50,15,104,46,1.37,8.98,4.00,4.34,4.49,0.8,0.9,502.2,sa3010616,43.8,Rich,22
Aaron Bummer,CHW,0,65,65,4,2,2,52,22,5,77,28,1.24,10.62,3.94,3.07,3.22,1.4,1.6,595.8,16258,45.0,Justin,21
Gregory Soto,DET,0,68,68,4,4,22,56,29,7,82,38,1.38,10.91,4.98,3.90,3.93,0.7,0.9,188.2,19677,42.7,Evans,21
Jake Odorizzi,HOU,11,45,90,6,5,0,86,43,15,88,28,1.27,8.77,2.83,4.29,4.43,0.7,0.7,539.1,6397,41.4,Scott,22
Carlos Hernandez,KCR,23,23,123,6,8,0,122,66,18,109,56,1.44,8.00,4.06,4.82,4.77,0.9,1.2,416.1,22713,39.7,Paula,23
Lou Trivino,OAK,0,70,70,5,5,26,64,33,9,68,33,1.38,8.70,4.20,4.22,4.40,0.0,0.3,227.1,15043,40.9,Andrew,22
James Kaprielian,OAK,19,19,104,5,7,0,100,54,19,102,38,1.33,8.87,3.27,4.68,4.75,0.7,0.8,497,18331,38.0,Scott,21
Rich Hill,BOS,18,36,109,6,6,0,111,60,18,96,38,1.37,7.87,3.17,4.94,4.89,0.5,0.7,499.9,4806,34.6,John,14
Nate Pearson,TOR,8,48,79,5,4,0,70,38,12,89,36,1.34,10.16,4.08,4.33,4.44,0.5,0.7,490.3,20160,35.5,Myron,22
Luis Gil,NYY,10,48,86,4,4,0,75,43,13,102,46,1.39,10.58,4.76,4.48,4.56,0.6,0.5,546.6,21052,34.7,Scott,20
Kendall Graveman,CHW,0,64,64,4,3,1,57,27,7,68,25,1.29,9.49,3.55,3.79,3.97,0.5,0.7,546.9,15514,35.3,Ron,21
Jorge Alcala,MIN,0,62,62,4,3,4,58,29,9,66,23,1.30,9.52,3.30,4.24,4.11,0.3,0.4,504,19459,30.4,Ron,22
Yimi Garcia,TOR,0,60,60,5,4,3,54,29,10,64,19,1.23,9.54,2.90,4.28,4.35,0.1,0.3,585.7,12095,30.2,Ron,21
Joe Barlow,TEX,0,66,66,3,3,18,58,34,10,71,36,1.44,9.73,4.97,4.67,4.74,-0.1,-0.1,211.2,22296,29.5,Myron,20
Brendan McKay,,2,13,19,1,1,0,17,8,3,21,7,1.24,9.91,3.19,3.87,3.98,0.1,0.1,999,20186,10.0,Evans,23
Deivi Garcia,NYY,2,2,8,0,1,0,8,5,2,7,5,1.59,8.11,5.06,5.63,5.80,0.0,0.0,599.6,20276,0.9,Evans,22
Drew Steckenrider,SEA,0,66,66,3,3,15,62,32,11,62,22,1.27,8.40,2.98,4.37,4.55,0.1,0.1,394.3,18806,32.6,Jeff,26
Paul Sewald,SEA,0,67,67,5,4,6,54,28,10,87,24,1.16,11.70,3.16,3.78,3.69,0.9,0.9,284.7,13892,41.3,John,25
Michael Lorenzen,LAA,21,43,145,7,7,0,142,72,19,129,61,1.40,7.99,3.77,4.46,4.52,1.3,1.4,555.9,14843,56.7,John,26
Sonny Gray,MIN,29,29,161,11,9,0,145,70,19,163,63,1.29,9.13,3.50,3.94,3.95,2.6,2.9,159.1,12768,83.7,Rich,8
Jose Urquidy,HOU,26,26,137,8,8,0,134,68,25,123,33,1.23,8.06,2.19,4.48,4.53,1.7,1.6,210.8,18413,57.0,Ron,9
Michael Wacha,BOS,19,39,118,6,6,0,128,64,20,106,36,1.38,8.06,2.72,4.91,4.57,1.0,0.8,556.4,14078,38.3,Ron,26
Tyler Alexander,DET,10,52,94,5,6,0,97,47,15,79,26,1.31,7.61,2.52,4.54,4.54,0.6,0.6,589.8,17735,36.7,Scott,25
